fold,date,store_nbr,family,sales,prediction,onpromotion,error,abs_error,pct_error,underforecast,overforecast,promo_flag,revenue_proxy,weighted_abs_error,sales_segment,sales_risk_score,promo_risk_score,underforecast_risk_score,impact_risk_score,error_risk_score,risk_score,trust_score,trust_tier,decision_action
2,2017-07-19,1,0,7.0,10.533682,0,-3.5336820000000007,3.5336820000000007,0.5048117142857144,0,1,0,7.0,24.735774000000006,mid,0.3,0.0,0.0,4.186421595742272e-05,0.5048117142857144,0.19644979391810793,0.8035502060818921,Safe,Use Forecast
2,2017-07-20,1,0,4.0,8.521036,0,-4.5210360000000005,4.5210360000000005,1.1302590000000001,0,1,0,4.0,18.084144000000002,low,0.1,0.0,0.0,3.060662301576374e-05,1.0,0.31500459099345235,0.6849954090065477,Review,Manual Review
2,2017-07-21,1,0,10.0,9.044243,0,0.9557570000000002,0.9557570000000002,0.09557570000000001,1,0,0,10.0,9.557570000000002,mid,0.3,0.0,1.0,1.6175769333443322e-05,0.09557570000000001,0.27367513636540003,0.7263248636346,Safe,Use Forecast
2,2017-07-22,1,0,8.0,0.0,0,8.0,8.0,1.0,1,0,0,8.0,64.0,mid,0.3,0.0,1.0,0.0001083172016883342,1.0,0.5450162475802532,0.45498375241974676,Review,Manual Review
2,2017-07-23,1,0,0.0,0.0,0,0.0,0.0,,0,0,0,0.0,0.0,low,0.1,0.0,0.0,0.0,0.0,0.015,0.985,Safe,Use Forecast
2,2017-07-24,1,0,4.0,7.555126,0,-3.5551259999999996,3.5551259999999996,0.8887814999999999,0,1,0,4.0,14.220503999999998,low,0.1,0.0,0.0,2.406758124809005e-05,0.8887814999999999,0.2816380601371872,0.7183619398628128,Safe,Use Forecast
2,2017-07-25,1,0,10.0,5.077077,0,4.922923,4.922923,0.4922923,1,0,0,10.0,49.22923,mid,0.3,0.0,1.0,8.331831929486552e-05,0.4922923,0.3927001877478942,0.6072998122521058,Review,Manual Review
2,2017-07-26,1,0,2.0,8.913533,0,-6.913532999999999,6.913532999999999,3.4567664999999996,0,1,0,2.0,13.827065999999999,low,0.1,0.0,0.0,2.3401704635623567e-05,1.0,0.31500351025569534,0.6849964897443046,Review,Manual Review
2,2017-07-27,1,0,5.0,0.0,0,5.0,5.0,1.0,1,0,0,5.0,25.0,mid,0.3,0.0,1.0,4.231140690950555e-05,1.0,0.5450063467110364,0.4549936532889636,Review,Manual Review
2,2017-07-28,1,0,7.0,5.6863847,0,1.3136153000000004,1.3136153000000004,0.1876593285714286,1,0,0,7.0,9.195307100000003,mid,0.3,0.0,1.0,1.5562655214638623e-05,0.1876593285714286,0.30130013296971075,0.6986998670302893,Review,Manual Review
